package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
si.inova.androidarchitectureplayground.ui.components.ProgressErrorSuccessScaffold,ProgressErrorSuccessScaffold,1,1,1,0,0,0,1,0,7,5,
si.inova.androidarchitectureplayground.ui.components.ErrorPreview,ErrorPreview,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.ui.components.ProgressPreview,ProgressPreview,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.ui.debugging.PreviewTheme,PreviewTheme,1,1,1,0,0,0,1,0,2,1,
si.inova.androidarchitectureplayground.ui.errors.commonUserFriendlyMessage,commonUserFriendlyMessage,1,0,0,0,0,0,0,0,3,2,
si.inova.androidarchitectureplayground.ui.lists.DetectScrolledToBottom,DetectScrolledToBottom,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.ui.screens.MasterDetailScreen.Content,Content,1,1,1,0,0,0,0,0,1,3,
si.inova.androidarchitectureplayground.ui.screens.MasterDetailScreen.MasterDetail,MasterDetail,1,1,1,0,0,0,0,0,3,6,
si.inova.androidarchitectureplayground.ui.screens.MasterDetailScreen.MasterDetailOnPhone,MasterDetailOnPhone,1,1,1,0,0,0,0,0,1,3,
si.inova.androidarchitectureplayground.ui.screens.MasterDetailScreen.MasterDetailOnLargerScreen,MasterDetailOnLargerScreen,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.ui.theme.AndroidArchitecturePlaygroundTheme,AndroidArchitecturePlaygroundTheme,1,1,1,0,0,0,1,0,3,3,
si.inova.androidarchitectureplayground.ui.theme.TransparencyFixRippleTheme.defaultColor,defaultColor,1,0,0,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.ui.theme.TransparencyFixRippleTheme.rippleAlpha,rippleAlpha,1,0,0,0,0,0,0,0,1,1,
